feature,l2f_126v127,l2f_126v382,l2f_127v382,gene_name,gene_biotype,cons_phyloP,pres_phyloP,cons_phastCons,pres_phastCons
WBGene00023021,-0.548042211038318,-1.95253289025174,-1.51322509609878,F32A5.9,ncRNA,1.75659410430839,441,0.89434693877551,441
WBGene00023065,0.651461684862034,-0.312359851481356,-1.09651324580118,F53F10.6,ncRNA,0.224653927813163,471,0.612592356687898,471
WBGene00023066,-0.298777180862726,3.91955343691352,4.15437415203794,F53F10.7,ncRNA,NA,0,NA,0
WBGene00023069,-0.414953466770398,-1.69906457350951,-1.37014070091656,rncs-1,ncRNA,NA,0,NA,0
WBGene00023084,0.0889321124063354,-0.0643782234089431,-0.278912172678851,H19M22.4,ncRNA,NA,0,NA,0
WBGene00023104,2.64797321936593,-0.697169443995241,-3.46006266698964,K10F12.8,ncRNA,0.532697050938338,373,0.342155495978552,373
WBGene00023142,-0.350416637180205,1.92442637868158,NA,T20F5.1,ncRNA,0.270173780487805,328,0.606643292682927,328
WBGene00023159,-0.516448860610692,0.0757379780986221,0.490938782010203,W06H8.5,ncRNA,1.12239603960396,2525,0.867171881188119,2525
WBGene00023187,-1.6497617364993,2.00818848449146,3.59187288234879,Y67D8C.12,ncRNA,0.362282722513089,191,0.764068062827225,191
WBGene00023205,-3.52312783304848,-1.41124260332103,2.01804393667071,Y119D3B.10,ncRNA,0.42044262295082,61,0.767573770491803,61
WBGene00023472,-0.924150416110348,-0.00358538366059191,0.814587298535949,F16A11.5,ncRNA,0.489408872901679,834,0.671390887290168,834
WBGene00044161,0.539874290927988,-0.365142524262535,-1.02478516441853,C47G2.8,ncRNA,0.809709486166008,506,0.834537549407115,506
WBGene00044728,-0.822510400285605,1.17805687496242,1.90403691700916,Y53F4B.45,ncRNA,0.837901960784314,51,0.961901960784314,51
WBGene00044747,0.739054499087693,2.17267692101571,1.43044903500187,ZK1005.2,ncRNA,1.46545161290323,31,0.995451612903226,31
WBGene00044748,-0.985144735129074,-0.202480383396142,0.651955664616547,ZK402.6,ncRNA,NA,0,NA,0
WBGene00044749,0.493032162986854,1.92078854714817,1.3730397765089,W01C8.8,ncRNA,0.473846153846154,13,0.378769230769231,13
WBGene00044750,-0.504290599928189,-2.52291708716619,-2.12842703403926,Y39D8C.2,ncRNA,2.23538709677419,31,0.992032258064516,31
WBGene00044751,NA,-1.41124260332103,0.752324982709383,F14D2.16,ncRNA,NA,0,NA,0
WBGene00044968,0.70300275515291,2.96622402011836,NA,K10H10.11,ncRNA,2.0982875,80,0.9996625,80
WBGene00044969,-0.214828053852327,-2.72983767449123,-2.43843983012637,T28D6.10,ncRNA,1.69923529411765,68,0.995764705882353,68
WBGene00044971,2.90513948350668,2.1835168349856,-0.768329812937263,C15H11.12,ncRNA,0.371229166666667,96,0.90940625,96
WBGene00044972,NA,-2.37210785871853,-0.186327004760727,F35E12.11,ncRNA,0.504904255319149,94,0.63368085106383,94
WBGene00044973,0.902077024091343,-0.376339017528623,-1.37095711848034,F08G2.12,ncRNA,1.20113235294118,68,0.964661764705882,68
WBGene00044980,3.78958101558366,4.59987923388838,0.752324982709383,B0399.3,ncRNA,0.793935483870968,31,0.997935483870968,31
WBGene00044981,NA,NA,NA,D2013.11,ncRNA,0.32464,25,0.63876,25
WBGene00044982,NA,NA,NA,C01A2.8,ncRNA,NA,0,NA,0
WBGene00044983,-5.58401574507902,NA,5.46750615634404,T04B2.9,ncRNA,NA,0,NA,0
WBGene00044984,1.04196360598696,-0.826710294314748,-1.93618603568542,C27C7.9,ncRNA,0.506464285714286,28,0.427678571428571,28
WBGene00044985,-4.30290066381223,0.60397623699367,4.64233287249316,F37B12.5,ncRNA,0.471903225806452,31,0.744838709677419,31
WBGene00044986,NA,NA,NA,C34E7.5,ncRNA,0.969666666666667,30,0.792066666666667,30
WBGene00045043,-0.67270610654142,-1.11096813351358,-0.559151753759194,Y116A8C.48,ncRNA,0.84424203821656,314,0.877509554140127,314
WBGene00045095,-1.9182848931757,-1.80113842863489,0.0442944079524321,mrpr-1,ncRNA,2.3837688172043,186,0.999655913978495,186
WBGene00045117,-2.15468812847058,3.39936603412545,5.49984654462388,M163.12,ncRNA,1.27914102564103,78,0.965179487179487,78
WBGene00045119,-0.985144735129074,1.28587432106872,NA,F08G2.13,ncRNA,NA,0,NA,0
WBGene00045123,NA,NA,NA,W01D2.7,ncRNA,0.412586206896552,58,0.932844827586207,58
WBGene00045161,-2.19917065683931,-0.795538695880176,1.34431261185841,lfor-2,ncRNA,0.762566225165563,302,0.626586092715232,302
WBGene00045165,-0.81067816812727,0.236566839804356,0.929198280864641,H38K22.8,ncRNA,0.521395348837209,43,0.398279069767442,43
WBGene00045168,-0.0773911347805693,-1.27012394548831,-1.2543609146857,srpr-1.2,ncRNA,3.76790635451505,299,0.958986622073579,299
WBGene00045169,-1.83097824668696,-1.47643050443514,0.223083025030278,T19C4.11,ncRNA,2.94696629213483,178,0.990337078651685,178
WBGene00045189,-0.614738725926326,-2.04211764269213,-1.51827963611001,srpr-1.1,ncRNA,3.84119463087248,298,0.951161073825503,298
WBGene00045238,-0.105690710068979,-0.437666116904608,-0.393114464134532,rpr-1,ncRNA,2.24962055335968,253,0.915616600790514,253
WBGene00045282,1.10714991283501,2.02273850292775,0.723570266626951,Y57G11C.56,ncRNA,NA,0,NA,0
WBGene00045369,0.247383469763226,0.0569456941525558,-0.275747981168989,F26E4.14,ncRNA,1.03484403669725,109,0.747733944954128,109
WBGene00045370,NA,NA,NA,ZK265.11,ncRNA,1.86728947368421,76,0.999144736842105,76
WBGene00045371,-2.06779738243675,3.48208145533011,5.49984654462388,M163.15,ncRNA,1.36968055555556,72,0.953777777777778,72
WBGene00045372,-0.214828053852327,-1.98642477403458,-1.76514079388951,W01D2.8,ncRNA,0.712538461538462,78,0.820935897435897,78
WBGene00045388,-2.17018916773587,-1.19834995719041,0.885224473775486,lfor-1,ncRNA,0.754829431438127,299,0.67166889632107,299
WBGene00045389,0.902077024091343,-0.932302994065487,-1.86423798580583,Y38F1A.11,ncRNA,0.348233870967742,124,0.463693548387097,124
WBGene00045391,-4.2858814055866,NA,4.21999312708577,F52D4.1,ncRNA,NA,0,NA,0
WBGene00077787,-1.27954190939563,-0.525507177081873,0.623562589617425,T05E12.10,ncRNA,NA,0,NA,0
WBGene00175029,2.74720428494084,2.07071685270159,-0.800458652046451,AH9.7,ncRNA,0.866089430894309,1353,0.565751662971175,1353
WBGene00185076,-0.56165199819242,-0.88133956230899,-0.440665211128823,Y7A9A.79,ncRNA,NA,0,NA,0
WBGene00189969,-0.985144735129074,1.28587432106872,NA,F39B1.3,ncRNA,NA,0,NA,0
WBGene00189974,-1.10964674113933,-0.889599187901718,0.0648274811344481,F31C3.12,ncRNA,0.206944444444444,18,0.00361111111111111,18
WBGene00189975,-0.157741059110042,1.16307021779902,1.21279750345541,K02E2.12,ncRNA,NA,0,NA,0
WBGene00189976,0.876793720604476,-0.971876481758216,-1.94907825486494,Y39E4B.16,ncRNA,0.283947368421053,19,0.958947368421053,19
WBGene00189977,2.75433111494408,-0.565820679688331,-3.42607975238268,C47G2.9,ncRNA,NA,0,NA,0
WBGene00189978,2.31458177503976,1.20697553093068,-1.18180420225369,B0250.14,ncRNA,NA,0,NA,0
WBGene00189979,0.799539158077626,-0.279626199989673,-1.18180420225369,W04A8.8,ncRNA,NA,0,NA,0
WBGene00189980,0.486292964523601,-0.039457168702456,-0.67643923807936,F02C12.7,ncRNA,NA,0,NA,0
WBGene00189981,-0.686830627759974,-0.11756856212434,0.479343196226415,Y60A3A.29,ncRNA,NA,0,NA,0
WBGene00189982,-0.925859765019613,-1.4553440605894,-0.557596935591158,C06C3.13,ncRNA,NA,0,NA,0
WBGene00189983,-0.214828053852327,-1.36431144593511,-1.18180420225369,Y71A12B.22,ncRNA,NA,0,NA,0
WBGene00189984,-0.371052180990699,-0.0104034873890632,0.253290759346115,K02E2.13,ncRNA,NA,0,NA,0
WBGene00189985,NA,NA,NA,F02D8.8,ncRNA,NA,0,NA,0
WBGene00194678,-0.134685536886691,-1.52697614557358,-1.48921957111917,R10D12.18,ncRNA,NA,0,NA,0
WBGene00194681,-1.25183281245688,-0.0320256997428139,1.1054024178106,F40D4.16,ncRNA,NA,0,NA,0
WBGene00194690,1.81944949142175,1.66770474040836,-0.186327004760727,T05D4.6,ncRNA,0.473775430359937,1278,0.581272300469484,1278
WBGene00194748,2.08474068584653,3.37489470590808,1.3057163829123,F56F3.7,ncRNA,NA,0,NA,0
WBGene00194759,-1.88042826548026,3.38490488632438,5.21325454229398,Y113G7A.17,ncRNA,NA,0,NA,0
WBGene00194811,1.05802344395941,0.170165272410859,-1.04050819098244,F22E10.6,ncRNA,0.383710344827586,290,0.53141724137931,290
WBGene00194851,-0.428226300270275,2.35924240978942,2.69940108282166,K07C10.3,ncRNA,1.19096475770925,227,0.784872246696035,227
WBGene00195005,0.219785303235026,1.3499325117395,1.00100718803546,ZK809.10,ncRNA,0.893435643564356,101,0.980178217821782,101
WBGene00195016,-0.567158700074551,-1.6188933870771,-1.1099846250045,srpr-2.1,ncRNA,3.27651505016722,299,0.966635451505017,299
WBGene00195017,-0.792160111504485,-1.79034078156045,-1.07529467081661,srpr-2.2,ncRNA,3.22942474916388,299,0.980354515050167,299
WBGene00195018,2.78618740858618,-0.669993747958319,-3.5553893413668,srpr-3,ncRNA,3.84646822742475,299,0.987334448160535,299
WBGene00195019,-0.597418913358212,-0.10670260962423,0.363698865483842,Y59H11AR.8,ncRNA,NA,0,NA,0
WBGene00195020,-0.196051321673717,-0.0721434908692558,0.0193395046275296,Y59H11AR.9,ncRNA,0.154,20,0.474,20
WBGene00195021,-1.26481784496136,4.81844628261076,5.92176416725795,K08F11.7,ncRNA,NA,0,NA,0
WBGene00195022,2.1434013400165,1.4107930654978,-0.843083411315877,F39E9.15,ncRNA,NA,0,NA,0
WBGene00195023,-0.761051222371028,2.26506529022138,2.93057075089881,F39E9.16,ncRNA,NA,0,NA,0
WBGene00195024,-0.0160698001170837,2.11473195601234,2.00907937149624,F39E9.17,ncRNA,NA,0,NA,0
WBGene00195025,0.172552020948986,1.58569479407314,1.27443440754229,F39E9.18,ncRNA,NA,0,NA,0
WBGene00195026,-0.182859641923555,2.07216728210363,2.14117325166595,F39E9.19,ncRNA,NA,0,NA,0
WBGene00195027,0.0436725147008174,2.07738592243139,1.92313194113835,F39E9.20,ncRNA,0.55995,20,0.6879,20
WBGene00195028,0.0724596108510456,2.17457519481795,1.97942968498919,F39E9.21,ncRNA,0.448944444444444,18,0.6665,18
WBGene00195029,-1.66711389092023,-0.830324760108603,0.731880985786991,Y37E11B.11,ncRNA,NA,0,NA,0
WBGene00195030,-0.429943204225817,0.180420697961897,0.542163575190813,F10E7.12,ncRNA,NA,0,NA,0
WBGene00195031,0.435503299650832,1.01839201111008,0.457796933466927,Y37E3.23,ncRNA,NA,0,NA,0
WBGene00195032,-0.296879970588945,-0.824663544209659,-0.653652860653777,Y37E3.24,ncRNA,NA,0,NA,0
WBGene00195033,0.0159033448266155,0.46292036960604,0.337829708226558,Y37E3.25,ncRNA,NA,0,NA,0
WBGene00195034,-1.62970420580032,-0.276100207124156,1.22579006063795,F40G9.20,ncRNA,NA,0,NA,0
WBGene00195035,NA,NA,NA,Y46H3C.9,ncRNA,NA,0,NA,0
WBGene00195036,0.902077024091343,3.14206671838476,NA,T08D2.10,ncRNA,0.364904761904762,21,0.261571428571429,21
WBGene00195037,0.510272778351625,3.10269957570803,2.4750835595052,F59H5.4,ncRNA,NA,0,NA,0
WBGene00195038,1.74301888223338,-1.65561276777007,-3.50006966993067,F59H6.13,ncRNA,NA,0,NA,0
WBGene00195039,-3.21393671934016,1.33929539606575,4.50177979504245,K08A2.9,ncRNA,NA,0,NA,0
WBGene00195040,-3.62336252894312,1.01080660305658,4.61468418308938,K08A2.10,ncRNA,NA,0,NA,0
WBGene00195043,-0.0972780383418695,2.41134145745534,2.40939152040651,Y57G11C.1135,ncRNA,1.15077642276423,246,0.920109756097561,246
WBGene00195151,-0.517611868200577,-0.0870791115607579,0.301411550445079,F53H2.4,ncRNA,0.341398550724638,138,0.702086956521739,138
WBGene00195159,-2.35339871476421,2.89987412261516,5.15124413392269,T04C12.14,ncRNA,0.340230303030303,165,0.408006060606061,165
WBGene00195175,-0.844135808234031,-1.05783583788418,-0.32008492067878,Y105E8A.36,ncRNA,NA,0,NA,0
WBGene00195233,-1.31913605456123,0.673506384005421,1.86610528582218,F31E9.11,ncRNA,NA,0,NA,0
WBGene00195235,-0.793772587139824,0.307303552036199,1.03581723255365,C47E8.12,ncRNA,NA,0,NA,0
WBGene00195237,1.74301888223338,2.60241872775099,0.752324982709383,Y116F11B.18,ncRNA,NA,0,NA,0
WBGene00195252,-4.16813899138691,0.406297226272528,4.44252584165331,K10D6.6,ncRNA,0.681153207331042,3492,0.683246563573883,3492
WBGene00195258,-3.52312783304848,NA,3.43223549472254,F11D5.8,ncRNA,NA,0,NA,0
WBGene00195259,-0.985144735129074,-3.38011266644753,-2.54328312736053,C16E9.7,ncRNA,1.15176515151515,132,0.902469696969697,132
WBGene00195260,NA,NA,NA,T27F7.5,ncRNA,1.44711304347826,115,0.998791304347826,115
WBGene00195261,1.2724530850823,-0.468142230062734,-1.92693654749045,F26A10.4,ncRNA,1.43681818181818,341,0.983378299120235,341
WBGene00195262,-0.214828053852327,2.02826657065071,NA,T22B7.9,ncRNA,1.343552,125,0.9806,125
WBGene00195263,NA,NA,NA,F02E8.7,ncRNA,0.88872864321608,199,0.801482412060302,199
WBGene00195264,NA,-1.41124260332103,0.752324982709383,F14B8.8,ncRNA,1.1171884057971,138,0.863811594202899,138
WBGene00195265,NA,NA,NA,F47B7.9,ncRNA,1.64225694444444,144,0.988916666666667,144
WBGene00195266,-2.64596476049271,-0.0690100538695523,2.48566978851406,ZC132.10,ncRNA,NA,0,NA,0
WBGene00195267,-1.17623916915041,-1.45735008214518,-0.427592221702926,C45E5.53,ncRNA,1.12707692307692,130,0.934461538461538,130
WBGene00195268,1.77710265566177,4.06997467569879,NA,C39F7.6,ncRNA,NA,0,NA,0
WBGene00195269,0.48792714761698,2.77915252949523,NA,F49E10.8,ncRNA,1.17480357142857,224,0.912491071428571,224
WBGene00195270,-4.09632618999717,-1.09930685632691,2.95874685806604,T23F11.7,ncRNA,1.20775,220,0.943713636363636,220
WBGene00195271,-0.985144735129074,1.28587432106872,NA,F45H7.8,ncRNA,0.761074468085106,188,0.952324468085106,188
WBGene00195272,NA,NA,NA,C33F10.15,ncRNA,0.24718018018018,111,0.186396396396396,111
WBGene00195273,NA,NA,NA,K11E4.7,ncRNA,4.14304494382022,89,0.974921348314607,89
WBGene00195274,-3.01750604453682,1.28587432106872,4.21999312708577,ZK617.7,ncRNA,0.769953846153846,130,0.836238461538461,130
WBGene00195275,-3.639592453134,1.97087602736815,5.49984654462388,ZK867.4,ncRNA,1.56587692307692,195,0.990153846153846,195
WBGene00195276,-2.44428064418401,0.955075733062917,3.3510281517053,T27E4.13,ncRNA,1.12586046511628,86,0.989360465116279,86
WBGene00195277,NA,-1.41124260332103,0.752324982709383,Y38H6C.26,ncRNA,1.23021153846154,52,0.834038461538462,52
WBGene00195278,3.93814128530678,4.78991336604091,0.752324982709383,F46G11.7,ncRNA,1.57184285714286,140,0.999764285714286,140
WBGene00195279,NA,NA,NA,C05D2.12,ncRNA,0.959061224489796,49,0.999775510204082,49
WBGene00195280,2.18957357530002,0.409765370488111,-1.86423798580583,Y67A10A.342,ncRNA,1.77348125,160,0.92871875,160
WBGene00195281,-0.214828053852327,2.02826657065071,NA,M79.5,ncRNA,0.962768,125,0.874872,125
WBGene00195282,NA,NA,NA,Y43F8A.6,ncRNA,0.841,2,0.43,2
WBGene00195283,NA,-2.37210785871853,-0.186327004760727,F27C8.11,ncRNA,1.44510714285714,84,0.977345238095238,84
WBGene00195284,1.08717221529997,1.80749738130908,0.782517891536211,Y55H10A.3,ncRNA,1.41926666666667,90,0.997677777777778,90
WBGene00195285,-0.214828053852327,-0.35688380419429,-0.186327004760727,T02E9.8,ncRNA,0.260189655172414,58,0.348137931034483,58
WBGene00195286,-2.37387028081653,1.92442637868158,4.21999312708577,C03E10.8,ncRNA,0.942664335664336,143,0.960230769230769,143
WBGene00195287,-0.214828053852327,2.02826657065071,NA,B0495.11,ncRNA,0.143513333333333,150,0.114926666666667,150
WBGene00195288,-0.985144735129074,1.28587432106872,NA,C11D2.98,ncRNA,1.82519565217391,92,0.999978260869565,92
WBGene00195289,-0.985144735129074,1.28587432106872,NA,Y39G10AR.26,ncRNA,1.56731944444444,72,0.978763888888889,72
WBGene00195290,-0.350416637180205,0.500114746145718,0.752324982709383,F14D12.7,ncRNA,1.38635810810811,148,0.994385135135135,148
WBGene00195291,NA,NA,NA,T06F4.4,ncRNA,1.48471028037383,107,0.979514018691589,107
WBGene00195292,NA,NA,NA,Y47D3B.13,ncRNA,NA,0,NA,0
WBGene00195293,-2.88254603539827,-1.96828907726836,0.786174340509456,F56A4.13,ncRNA,1.65181538461538,65,0.998584615384615,65
WBGene00195294,-2.24725032780971,0.60397623699367,2.805821729945,C32A3.4,ncRNA,0.214906040268456,149,0.498684563758389,149
WBGene00195295,-0.985144735129074,1.28587432106872,NA,F11D5.9,ncRNA,1.13409389671361,213,0.777328638497653,213
WBGene00195296,NA,NA,NA,C08E8.12,ncRNA,NA,0,NA,0
WBGene00195297,NA,NA,NA,T19D2.5,ncRNA,1.52567973856209,153,0.999183006535948,153
WBGene00195298,2.87979369689614,5.16487205282943,NA,F14F3.6,ncRNA,1.62362416107383,149,0.99906711409396,149
WBGene00195299,-4.84554296218114,-1.47527105571382,3.25757528175728,F11C1.11,ncRNA,1.48952216748768,203,0.954990147783251,203
WBGene00195300,NA,-1.41124260332103,0.752324982709383,ZC190.11,ncRNA,0.625791666666667,144,0.584979166666667,144
WBGene00195301,-4.03579184879446,-3.71493764140905,0.140209122673625,F12F6.12,ncRNA,1.19385507246377,138,0.997797101449275,138
WBGene00195302,-4.15890252301992,-1.41124260332103,2.65036882089272,ZK1131.2,ncRNA,1.42719343065693,274,0.974536496350365,274
WBGene00195303,NA,NA,NA,Y22D7AR.16,ncRNA,NA,0,NA,0
WBGene00195304,NA,NA,NA,ZC53.8,ncRNA,1.05318709677419,155,0.796309677419355,155
WBGene00195305,0.902077024091343,3.14206671838476,NA,W05E10.7,ncRNA,0.818341013824885,217,0.879244239631336,217
WBGene00195306,-0.103207512240083,-1.90163931258565,-1.84631784582235,K07C11.13,ncRNA,1.3700067114094,149,0.882134228187919,149
WBGene00195307,NA,NA,NA,C31G12.5,ncRNA,0.622424242424242,66,0.923348484848485,66
WBGene00195308,-1.51589704082493,2.77915252949523,4.21999312708577,ZK617.8,ncRNA,1.40847142857143,280,0.965275,280
WBGene00195309,-1.12303099158171,-0.52926847201038,0.537558841538224,F59B8.5,ncRNA,1.93569333333333,150,0.59162,150
WBGene00195310,-2.24725032780971,0.60397623699367,2.805821729945,ZK1086.5,ncRNA,0.453036082474227,194,0.618371134020618,194
WBGene00195311,0.902077024091343,-3.00302568267861,-3.85695950975436,M110.11,ncRNA,0.242108108108108,111,0.599981981981982,111
WBGene00195312,-1.12003034688506,0.864624340010141,1.88048124323367,C34H3.3,ncRNA,1.69305,80,0.9927625,80
WBGene00195313,-0.350416637180205,1.92442637868158,NA,F47E1.8,ncRNA,1.25151923076923,104,0.991384615384615,104
WBGene00195314,NA,-1.41124260332103,0.752324982709383,F40F12.10,ncRNA,0.18076,150,0.502126666666667,150
WBGene00195315,NA,NA,NA,Y47H9C.16,ncRNA,0.73155,80,0.9390625,80
WBGene00195316,-0.985144735129074,1.28587432106872,NA,T03G11.12,ncRNA,1.38468253968254,63,0.991396825396825,63
WBGene00195317,0.591143515744863,1.40345369276494,0.699635344713183,T23G5.9,ncRNA,0.8771796875,128,0.572609375,128
WBGene00195318,7.77419730272187,3.99295551780191,-3.89643421703847,C18C4.11,ncRNA,2.52264,150,0.99694,150
WBGene00195319,NA,NA,NA,R12A1.5,ncRNA,NA,0,NA,0
WBGene00195320,NA,-1.41124260332103,0.752324982709383,Y53H1C.4,ncRNA,0.255409523809524,105,0.3866,105
WBGene00195321,-2.25986283112437,-2.12791216578985,0.00381884062772766,C46F11.7,ncRNA,1.50632352941176,102,0.999696078431373,102
WBGene00195322,-4.72920948937137,1.28587432106872,5.88107728852536,T06E4.16,ncRNA,0.940179104477612,134,0.748380597014925,134
WBGene00195323,NA,NA,NA,B0432.16,ncRNA,0.467396226415094,53,0.925679245283019,53
WBGene00195324,1.50216293274144,3.74180516814172,NA,F56E3.5,ncRNA,1.48469047619048,210,0.996661904761905,210
WBGene00195325,NA,NA,NA,K04H4.8,ncRNA,0.655896551724138,174,0.407793103448276,174
WBGene00195326,-0.985144735129074,-0.138436462373027,0.752324982709383,T06H11.6,ncRNA,0.95268345323741,139,0.781410071942446,139
WBGene00195327,NA,NA,NA,F11D5.10,ncRNA,1.66408955223881,134,0.994917910447761,134
WBGene00195328,NA,NA,NA,C01B7.8,ncRNA,0.866968609865471,223,0.769130044843049,223
WBGene00195329,-0.214828053852327,2.02826657065071,NA,ZK512.12,ncRNA,0.668589473684211,95,0.722936842105263,95
WBGene00195330,NA,NA,NA,K08A8.4,ncRNA,1.05934782608696,184,0.840820652173913,184
WBGene00195331,-0.985144735129074,-3.34950895455591,-2.50221877399929,R10E12.3,ncRNA,1.09671757925072,347,0.917322766570605,347
WBGene00195332,-0.214828053852327,2.02826657065071,NA,C40C9.6,ncRNA,3.41,92,0.99175,92
WBGene00195333,NA,NA,NA,F54F12.3,ncRNA,NA,0,NA,0
WBGene00195334,-4.2858814055866,NA,4.21999312708577,F52E4.9,ncRNA,0.400139705882353,136,0.339301470588235,136
WBGene00195335,NA,NA,NA,B0454.12,ncRNA,0.722887966804979,241,0.871390041493776,241
WBGene00195336,-4.2858814055866,NA,4.21999312708577,ZC581.11,ncRNA,NA,0,NA,0
WBGene00195337,1.05535904236131,-0.456774810904187,-1.6937392312236,C31H2.5,ncRNA,1.56029069767442,86,0.962779069767442,86
WBGene00195338,NA,-2.37210785871853,-0.186327004760727,T02E9.9,ncRNA,1.1184765625,128,0.943890625,128
WBGene00195339,NA,NA,NA,H32C10.94,ncRNA,NA,0,NA,0
WBGene00195340,-5.38892113136376,NA,5.33175225970542,M88.9,ncRNA,1.25878873239437,142,0.991676056338028,142
WBGene00195341,-2.40569676867693,1.35482277924084,3.70395990403756,F54D5.18,ncRNA,1.82496666666667,150,0.982793333333333,150
WBGene00195342,-2.89050910993255,-1.8013239115638,0.943509848652692,T19C4.15,ncRNA,0.138,149,0.545557046979866,149
WBGene00195343,NA,NA,NA,Y53C12A.12,ncRNA,6.86833783783784,74,0.999621621621621,74
WBGene00195344,-0.985144735129074,1.28587432106872,NA,ZK525.4,ncRNA,1.59090476190476,84,0.818238095238095,84
WBGene00195345,-0.350416637180205,1.92442637868158,NA,F25F6.2,ncRNA,1.35256650246305,203,0.969374384236453,203
WBGene00195346,-2.25473507745156,1.28587432106872,3.43223549472254,W02H5.13,ncRNA,0.21571186440678,59,0.20828813559322,59
WBGene00195347,NA,NA,NA,K03H9.5,ncRNA,1.16418064516129,155,0.927922580645161,155
WBGene00195348,0.132344756648282,2.08101494659616,1.97509313057992,F25H8.8,ncRNA,1.04935772357724,123,0.948178861788618,123
WBGene00195349,NA,NA,NA,ZK622.6,ncRNA,5.85868292682927,82,0.988524390243902,82
WBGene00195350,NA,-6.17498050168874,-3.98542116104502,ZK973.12,ncRNA,1.21818666666667,150,0.9982,150
WBGene00195351,0.348697721676048,-0.420205450163742,-0.832755418203477,ZK40.3,ncRNA,0.899623762376238,202,0.89430198019802,202
WBGene00195352,1.58811594024769,2.44451271972938,0.752324982709383,C10G11.12,ncRNA,1.22646478873239,142,0.999471830985916,142
WBGene00195353,NA,NA,NA,Y73F8A.1160,ncRNA,0.496453125,64,0.742390625,64
